                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.9044,                 1.8853,                 2.6111,                0.64049,                0.70384,                0.70966,                0.35586,                  2.167,                 2.1206,                 2.8787,               0.005776,               0.005776,               0.005776
                    130,                   1.94,                 1.8546,                 2.5521,                0.67457,                0.59259,                0.72365,                0.36187,                  2.048,                 2.2153,                 2.7646,               0.005743,               0.005743,               0.005743
                    131,                 1.8994,                 1.8723,                 2.5683,                0.65836,                0.53086,                0.63396,                0.33291,                 2.0721,                 2.3702,                 2.7584,                0.00571,                0.00571,                0.00571
                    132,                 1.8921,                 1.7859,                 2.5363,                 0.6896,                0.68573,                0.72738,                  0.376,                 2.1021,                 2.2437,                 2.7674,               0.005677,               0.005677,               0.005677
                    133,                 1.9341,                 1.8722,                 2.5287,                0.69182,                0.64198,                0.71513,                0.39155,                 1.9094,                 2.1206,                 2.6251,               0.005644,               0.005644,               0.005644
                    134,                 1.8415,                 1.8848,                 2.5191,                0.65686,                0.66176,                0.75383,                0.42738,                 1.8577,                 2.1082,                 2.6005,               0.005611,               0.005611,               0.005611
                    135,                 1.9008,                 1.8459,                 2.5628,                0.79071,                0.61728,                 0.7724,                0.39748,                 1.8436,                 2.0627,                 2.5527,               0.005578,               0.005578,               0.005578
                    136,                 1.7861,                 1.8518,                 2.4989,                0.69666,                0.67901,                0.73538,                0.39682,                 1.6786,                 2.0765,                 2.4355,               0.005545,               0.005545,               0.005545
                    137,                 1.7838,                 1.7838,                 2.4577,                0.73873,                0.62834,                0.73006,                0.38201,                 1.6415,                 2.0421,                 2.4174,               0.005512,               0.005512,               0.005512
                    138,                 1.8285,                 1.8044,                 2.4863,                0.66142,                0.71605,                0.72624,                0.39456,                 1.5834,                 1.9277,                 2.3693,               0.005479,               0.005479,               0.005479
                    139,                 1.8647,                 1.7087,                  2.487,                 0.5799,                0.71605,                0.75538,                0.43879,                 1.5612,                 1.7315,                 2.3298,               0.005446,               0.005446,               0.005446
                    140,                 1.7926,                 1.7781,                 2.4214,                0.62396,                0.76543,                0.76562,                0.41058,                 1.7852,                 1.7617,                 2.4461,               0.005413,               0.005413,               0.005413
                    141,                 1.8531,                 1.7817,                 2.4514,                0.57528,                 0.7284,                0.74998,                0.41632,                 1.7684,                 1.7499,                 2.4699,                0.00538,                0.00538,                0.00538
